WT Fraction above Background,WT detection,WT count,WT LOD,Animal,FTY Treatment,Sample,dpi,phase,timing,AUC VL post detection,AUC log10VL post detection,Collection Group
0.479537508541463,1,2813,16.8167876947312,14C207,Control,Plasma,465,ATI-2,65,11120.9051622586,151.742369358809,B
0.96880364821375,1,8786,26.0774128512708,14C207,Control,LNMC,189,ART-1,175,NaN,NaN,B
0.98184023673488,1,30749,90.0567677166314,9_047,Control,Plasma,7,Pre-ART,7,636837.702720798,27.0153370736067,B
0.887148441390263,1,16171,52.3999683803073,9_047,Control,Plasma,14,Pre-ART,14,62066671.3288074,74.9197720282172,B
0.937469129860695,1,11556,35.4418631419229,9_047,Control,Plasma,238,ATI-1,9,108135.794682104,38.7104090679228,B
0.942114543589492,1,72952,222.641463978368,9_047,Control,Plasma,473,ATI-2,4,5481791.48327469,36.99928382213,B
0.969525594919187,1,9657,28.6413168575503,9_047,Control,LNMC,189,ART-1,175,NaN,NaN,B
0.974404088784045,1,21644,63.8726456997449,9_047,Control,LNMC,233,ATI-1,4,NaN,NaN,B
0.961028327082009,1,6731,20.1391919863331,9_047,Control,LNMC,303,ART-2,21,NaN,NaN,B
0.975166244401227,1,7976,23.5192769079975,9_047,Control,PBMC,189,ART-1,175,NaN,NaN,B
0.977164846523978,1,22056,64.9051289778643,REe16,Control,Plasma,7,Pre-ART,7,180084.150961155,24.8512969079115,B
0.888789911688614,1,17360,56.1492093343719,REe16,Control,Plasma,14,Pre-ART,14,117932982.689622,72.9796819339113,B
0.945307783483836,1,25092,76.3201256672394,REe16,Control,Plasma,238,ATI-1,9,96514.5131975496,41.9715215037115,B
0.378158622525309,1,402,3.04265323579857,REe16,Control,Plasma,261,ATI-1,32,193368.24728035,122.696556168604,B
0.0652805185891343,1,628,26.5705822383054,REe16,Control,Plasma,282,ATI-1,53,259798.167215662,195.965341286447,B
0.0765915932408308,1,194,7.03992089913204,REe16,Control,Plasma,403,ATI-2,3,3233.84784150009,21.8019367602664,B
0.96591813878068,1,9285,27.6405579259654,REe16,Control,LNMC,189,ART-1,175,NaN,NaN,B
0.95865830213223,1,9551,28.6470849205566,REe16,Control,LNMC,304,ART-2,22,NaN,NaN,B
0.943958378693861,1,6537,19.9113534975861,REe16,Control,PBMC,189,ART-1,175,NaN,NaN,B
0.98438297777815,1,25742,75.1982374125231,RFb16,FTY,Plasma,7,Pre-ART,7,407575.662344508,26.2556242284659,B
0.952359353011738,1,5848,17.6560408621411,RFb16,FTY,Plasma,14,Pre-ART,14,28354794.9487729,71.3755019028494,B
0.805308541035276,1,13732,49.0025792696242,RFb16,FTY,Plasma,261,ATI-1,28,494034.977176525,99.2030194635369,B
0.189430599563083,1,1066,15.9861866218308,RFb16,FTY,Plasma,282,ATI-1,49,1622362.61745742,194.232818958787,B
0,0,128,134.312231132109,RFb16,FTY,Plasma,469,ATI-2,69,23668.8100189963,142.02933361351,B
0.982101571129535,1,4789,14.0221611682016,RFb16,FTY,LNMC,189,ART-1,175,NaN,NaN,B
0.981871077157269,1,3036,8.89146912413933,RFb16,FTY,LNMC,225,ATI-1,-8,NaN,NaN,B
0.956960929737183,1,6191,18.6020031951666,RFb16,FTY,LNMC,304,ART-2,22,NaN,NaN,B
0.989866826947846,1,5204,15.1180931393897,RFb16,FTY,PBMC,189,ART-1,175,NaN,NaN,B
0.957168502151246,1,17544,52.7027916881356,RJy13,Control,Plasma,7,Pre-ART,7,28553.1104723689,21.5918022512046,B
0.860897678153663,1,4052,13.5289917811669,RJy13,Control,Plasma,14,Pre-ART,14,106245114.797764,65.9873144188731,B
0.448480293913751,1,10719,68.4899801362506,RJy13,Control,Plasma,238,ATI-1,9,43125.697572453,35.7450076327667,B
0.011099019344331,1,132,27.2252573895152,RJy13,Control,Plasma,261,ATI-1,32,1454103.3510179,142.576991478971,B
0.00825529194678739,1,136,35.2111406216727,RJy13,Control,Plasma,282,ATI-1,53,1591453.98085973,222.673787507287,B
0.0952400666209715,1,272,7.99453532666695,RJy13,Control,Plasma,394,ATI-2,0,3929.94061891866,13.2017190327522,B
0.0991496044127132,1,1450,40.9849716909322,RJy13,Control,Plasma,396,ATI-2,2,12825.9836992303,20.4834188192339,B
0.944256114878006,1,3494,10.639192215034,RJy13,Control,LNMC,189,ART-1,175,NaN,NaN,B
0.942387591821457,1,12670,42.0062695924765,RJy13,Control,LNMC,225,ATI-1,-4,NaN,NaN,B
0.956952988287327,1,3298,9.90953224474302,RJy13,Control,LNMC,304,ART-2,22,NaN,NaN,B
0.989440529900382,1,905,2.63023673085146,RJy13,Control,PBMC,189,ART-1,175,NaN,NaN,B
0.962151394422311,1,485,2,RJy13,Control,PBMC,318,ART-2,36,NaN,NaN,B
0.980757367350483,1,15273,44.7803571490468,RLm14,Control,Plasma,7,Pre-ART,7,387513.255195679,26.1693855971635,A
0.909310670939254,1,10607,33.5355183183562,RLm14,Control,Plasma,14,Pre-ART,14,155773878.392351,75.5907166112095,A
0.123544491045289,1,3695,84.2887047103782,RLm14,Control,Plasma,245,ATI-1,11,43274.8227836892,46.4620410782361,A
0.00358613384554342,1,18,8.02337564169822,RLm14,Control,Plasma,262,ATI-1,28,118364.204632068,106.976420844418,A
0.00771801317691883,1,112,30.4669087990295,RLm14,Control,Plasma,399,ATI-2,6,5010.48910982252,27.3346976650283,A
0.00635876977664588,1,26,8.11278061829514,RLm14,Control,Plasma,402,ATI-2,9,8743.86462210966,36.6105484483345,A
0.0288963735068231,1,1629,147.829686787264,RLm14,Control,Plasma,476,ATI-2,83,725378.928673305,194.768616331544,A
0.981929052609023,1,2529,7.40619290002912,RLm14,Control,LNMC,185,ART-1,171,NaN,NaN,A
0.979144583129885,1,16885,49.5880376647589,RLm14,Control,LNMC,237,ATI-1,3,NaN,NaN,A
0.967219954632055,1,2239,6.65634470921621,RLm14,Control,LNMC,309,ART-2,28,NaN,NaN,A
0.982469914794676,1,1211,3.5444747173426,RLm14,Control,PBMC,185,ART-1,171,NaN,NaN,A
0.991285403050109,1,457,2,RLm14,Control,PBMC,323,ART-2,42,NaN,NaN,A
0.980792907923016,1,23141,67.8468411110534,RMf16,FTY,Plasma,7,Pre-ART,7,463194.596207566,26.4738821941527,A
0.930148014511664,1,4542,14.0394653572203,RMf16,FTY,Plasma,14,Pre-ART,14,201085989.861146,76.7889361964565,A
0.894326731846985,1,23707,76.2047644071143,RMf16,FTY,Plasma,239,ATI-1,5,93685.8478863563,32.545187458085,A
0.0563652324811717,1,483,23.5106248134881,RMf16,FTY,Plasma,262,ATI-1,28,1105606.47434945,136.804992825728,A
0.0335776452204579,1,284,22.4637213778531,RMf16,FTY,Plasma,281,ATI-1,47,1244421.86601763,210.210837567728,A
0.0545665968631211,1,352,17.6704610196567,RMf16,FTY,Plasma,384,ATI-2,0,1881.80814728014,7.72786340344934,A
0.0218128567486801,1,827,96.5746789136975,RMf16,FTY,Plasma,388,ATI-2,4,92448.4724266864,24.3125108853543,A
0.00748702173494668,1,225,62.5690634603317,RMf16,FTY,Plasma,462,ATI-2,78,852987.419441174,300.225339265054,A
0.0203239715488848,1,1095,136.07437438052,RMf16,FTY,Plasma,472,ATI-2,88,1328444.60062525,344.414055625249,A
0.96346962443353,1,9279,43.1801801801802,RMf16,FTY,LNMC,185,ART-1,171,NaN,NaN,A
0.850804493087037,1,2083,7.03703686762892,RMf16,FTY,LNMC,309,ART-2,28,NaN,NaN,A
0.970121470560147,1,5659,16.7735272221843,RMf16,FTY,PBMC,185,ART-1,171,NaN,NaN,A
0.967398036999224,1,23116,68.7091665304883,RNd15,Control,Plasma,7,Pre-ART,7,97468.3546108274,23.7815049189849,A
